Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-06-28 18:33:55,64316,2679.792,1013.63,1001.6439999999999,3.3948,3.394,32.353746,32.354513,2.2378,59.81661999999999,-39.11296,avg
2,2022-06-28 18:34:11,64697,2695.667,1013.26,1001.278,3.3944,3.3932,32.353228,32.353553999999995,2.2384,59.81661999999999,-39.11296,avg
3,2022-06-28 18:37:32,69520,2896.625,912.423,901.8510000000001,3.4322,3.4328,32.344477000000005,32.346571000000004,2.2565,59.81661999999999,-39.11298,avg
4,2022-06-28 18:39:58,73026,3042.708,811.513,802.304,3.5207,3.5206,32.384091,32.385909000000005,2.2726,59.8166,-39.11298,avg
5,2022-06-28 18:42:27,76601,3191.667,710.248,702.3580000000001,3.5591,3.5585,32.372989000000004,32.374045,2.3503,59.81661999999999,-39.11296,avg
6,2022-06-28 18:44:45,79908,3329.458,610.839,604.197,3.5602,3.5597,32.327923999999996,32.32915,2.3852,59.8166,-39.11298,avg
7,2022-06-28 18:47:12,83454,3477.208,509.05199999999996,503.64,3.5683,3.5682,32.288109000000006,32.289756,2.4186,59.8166,-39.112970000000004,avg
8,2022-06-28 18:49:37,86916,3621.458,408.278,404.035,3.5961,3.5954,32.266837,32.268109,2.4489,59.81661999999999,-39.11296,avg
9,2022-06-28 18:51:52,90152,3756.292,306.86,303.746,3.6639,3.6634,32.282574,32.284164000000004,2.473,59.81661999999999,-39.11296,avg
10,2022-06-28 18:54:14,93577,3899.0,206.18400000000003,204.141,3.8442,3.8429,32.404314,32.404894,2.4982,59.81661999999999,-39.11298,avg
11,2022-06-28 18:56:36,96975,4040.583,105.395,104.376,3.9791,3.9784,32.469837,32.471119,2.5648,59.81661999999999,-39.11298,avg
12,2022-06-28 18:58:30,99720,4154.958,54.901,54.376999999999995,5.3895,5.3159,33.709676,33.63728,2.6796,59.8166,-39.113,avg
13,2022-06-28 18:59:31,101182,4215.875,34.260999999999996,33.936,6.5387,6.5354,34.694676,34.69376,2.8144,59.81661999999999,-39.11298,avg
14,2022-06-28 19:00:55,103207,4300.25,5.18,5.131,6.8543,6.8535,34.973029,34.97422,2.8535,59.8166,-39.11299,avg
