Bottle,Date,Scan,TimeS,PrDM,DepSM,T090C,T190C,C0mS/cm,C1mS/cm,Sbeox0V,Latitude,Longitude,Statistic
1,2022-06-29 15:48:55,74437,3101.5,2592.0370000000003,2551.894,1.4943,1.4943,31.338696999999996,31.339378999999997,1.8627,59.80676999999999,-40.27668,avg
2,2022-06-29 15:56:05,84751,3531.25,2436.9410000000003,2400.065,1.9471,1.9448,31.675201,31.673934999999997,1.8774,59.80678,-40.27669,avg
3,2022-06-29 16:04:10,96377,4015.667,2234.889,2202.107,2.4831,2.4825,32.070369,32.070783,1.9214,59.80676,-40.27668,avg
4,2022-06-29 16:10:00,104795,4366.417,2031.2520000000002,2002.412,2.9999,2.9998,32.460538,32.461501,1.9464,59.80676,-40.276709999999994,avg
5,2022-06-29 16:16:21,113936,4747.292,1776.47,1752.295,3.3969,3.3969,32.725636,32.726753,1.9817,59.80676,-40.2767,avg
6,2022-06-29 16:22:48,123218,5134.042,1522.5720000000001,1502.751,3.5028,3.5027,32.702989,32.70418,2.0614,59.80678,-40.27669,avg
7,2022-06-29 16:29:13,132463,5519.25,1269.201,1253.43,3.4064,3.4059,32.483782,32.4846,2.168,59.80676,-40.27669,avg
8,2022-06-29 16:35:36,141663,5902.5830000000005,1016.293,1004.2689999999999,3.4259,3.4256,32.387944,32.388988,2.2303,59.80676,-40.276720000000005,avg
9,2022-06-29 16:41:38,150345,6264.3330000000005,763.672,755.0930000000001,3.559,3.5585,32.400622999999996,32.401717,2.288,59.80678,-40.27668,avg
10,2022-06-29 16:47:20,158560,6606.625,510.845,505.413,3.7199,3.7199,32.431271,32.432609,2.3812,59.80676,-40.2767,avg
11,2022-06-29 16:53:49,167894,6995.5419999999995,208.138,206.075,4.3551,4.3569,32.878147,32.881257,2.4781,59.80676,-40.2767,avg
12,2022-06-29 16:57:03,172545,7189.3330000000005,106.945,105.911,4.9988,4.9936,33.435596000000004,33.432363,2.5444,59.80676,-40.27669,avg
13,2022-06-29 17:00:11,177042,7376.7080000000005,56.193999999999996,55.657,5.5669,5.5611,33.936943,33.934308,2.6029,59.80676,-40.2767,avg
14,2022-06-29 17:03:16,181497,7562.3330000000005,5.148,5.099,7.0265,7.0253,35.11145,35.112524,2.8212,59.806740000000005,-40.2767,avg
